image,bicycle,bus,car,crosswalk,hydrant
./bicycle/bicycle_0.png,1,0,0,0,0
./bicycle/bicycle_1.png,1,0,0,0,0
./bicycle/bicycle_2.png,1,0,0,0,0
./bicycle/bicycle_3.png,1,0,0,0,0
./bicycle/bicycle_4.png,1,0,0,0,0
./bicycle/bicycle_5.png,1,0,0,0,0
./bicycle/bicycle_6.png,1,0,0,0,0
./bicycle/bicycle_7.png,1,0,0,0,0
./bicycle/bicycle_8.png,1,0,0,0,0
./bicycle/bicycle_9.png,1,0,0,0,0
./bicycle/bicycle_10.png,1,0,0,0,0
./bicycle/bicycle_11.png,1,0,0,0,0
./bicycle/bicycle_12.png,1,0,0,0,0
./bicycle/bicycle_13.png,1,0,0,0,0
./bicycle/bicycle_14.png,1,0,0,0,0
./bicycle/bicycle_15.png,1,0,0,0,0
./bicycle/bicycle_16.png,1,0,1,0,0
./bicycle/bicycle_17.png,1,0,0,0,0
./bicycle/bicycle_18.png,1,0,0,0,0
./bicycle/bicycle_19.png,1,0,0,0,0
./bicycle/bicycle_20.png,1,0,0,0,0
./bicycle/bicycle_21.png,1,0,0,0,0
./bicycle/bicycle_22.png,1,0,0,0,0
./bicycle/bicycle_23.png,1,0,0,0,0
./bicycle/bicycle_24.png,1,0,0,0,0
./bicycle/bicycle_25.png,1,0,0,0,0
./bicycle/bicycle_26.png,1,0,0,0,0
./bicycle/bicycle_27.png,1,0,0,0,0
./bicycle/bicycle_28.png,1,0,0,0,0
./bicycle/bicycle_29.png,1,0,0,0,0
./bicycle/bicycle_30.png,1,0,0,0,0
./bicycle/bicycle_31.png,1,0,0,0,0
./bicycle/bicycle_32.png,1,0,0,0,0
./bicycle/bicycle_33.png,1,0,1,0,0
./bicycle/bicycle_34.png,1,0,0,0,0
./bicycle/bicycle_35.png,1,0,0,0,0
./bicycle/bicycle_36.png,1,0,0,0,0
./bicycle/bicycle_37.png,1,0,0,0,0
./bicycle/bicycle_38.png,1,0,0,0,0
./bicycle/bicycle_39.png,1,0,0,0,0
./bicycle/bicycle_40.png,1,0,0,0,0
./bicycle/bicycle_41.png,1,0,0,0,0
./bicycle/bicycle_42.png,1,0,0,0,0
./bicycle/bicycle_43.png,1,0,0,0,0
./bicycle/bicycle_44.png,1,0,0,0,0
./bicycle/bicycle_45.png,1,0,0,0,0
./bicycle/bicycle_46.png,1,0,1,0,0
./bicycle/bicycle_47.png,1,0,0,0,0
./bicycle/bicycle_48.png,1,0,0,0,0
./bicycle/bicycle_49.png,1,0,0,0,0
./bicycle/bicycle_50.png,1,0,1,0,0
./bicycle/bicycle_51.png,1,0,0,0,0
./bicycle/bicycle_52.png,1,0,0,0,0
./bicycle/bicycle_53.png,1,0,0,0,0
./bicycle/bicycle_54.png,1,0,0,0,0
./bicycle/bicycle_55.png,1,0,0,0,0
